Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
IAmDartanion,Dartanion Williams,31,211,375,134
katyperry,KATY PERRY,10117,108140968,221,6818
justinbieber,Justin Bieber,30453,107104120,297936,3394
BarackObama,Barack Obama,15691,109677610,611368,11
Taylorswift13,Taylor Swift,330,84917716,0,633
rihanna,Rihanna,10430,94086958,1078,1020
youtube,YouTube,23813,72070565,1045,2570
theellenshow,Ellen DeGeneres,20375,78841184,27778,1820
ladygaga,Lady Gaga,8996,79884480,124302,2030
twitter,Twitter,12130,56713237,103,6346
jtimberlake,Justin Timberlake,4114,65093418,291,472
britneyspears,Britney Spears,5627,56286071,380643,2583
cristiano,Cristiano Ronaldo,3472,80622616,52,2
kimkardashian,Kim Kardashian West,30492,62164340,150,119
selenagomez,Selena Gomez,4397,58329727,1171,183
cnnbrk,CNN Breaking News,68049,55991675,121,22
jimmyfallon,jimmy fallon,12188,51455225,9167,1353
arianagrande,Ariana Grande,44861,66797469,61255,40448
shakira,Shakira,6354,51618750,210,1274
jlo,Jennifer Lopez,15056,44114555,1690,8087
instagram,Instagram,12683,36342814,64,253
oprah,Oprah Winfrey,12776,42654475,310,161
drake,Drizzy,1739,38639671,625,27
kingjames,LeBron James,6677,43820344,187,143
nytimes,The New York Times,375001,44335643,894,18368
billgates,Bill Gates,3189,48286069,202,120
cnn,CNN,268284,43225555,1106,1436
kevinhart4real,Kevin Hart,38852,35729786,555,98
mileycyrus,Miley Ray Cyrus,10478,44334128,349,490
onedirection,One Direction,9832,30641790,3675,286
sportscenter,SportsCenter,112447,35905358,725,1319
espn,ESPN,105889,34387570,305,313
bbcbreaking,BBC Breaking News,36021,40874515,3,0
harry_styles,Harry Styles.,5500,33515243,1992,174
pink,P!nk,7473,32184824,462,674
liltunechi,Lil Wayne WEEZY F,2049,34438484,50,20
wizkhalifa,Wiz Khalifa,46389,35022471,855,159
niallofficial,Niall Horan,13938,39444784,5998,504
brunomars,Bruno Mars,4649,43230242,97,369
adele,Adele,309,27578830,0,0
narendramodi,Narendra Modi,25042,50873176,2301,0
neymarjr,Neymar Jr,41556,44504149,743,878
kanyewest,ye,1168,29158719,265,3
kaka,Kaka,5150,29664079,305,98
actuallynph,Neil Patrick Harris,3044,26931200,142,256
realdonaldtrump,Donald J. Trump,45403,66054225,47,6
danieltosh,daniel tosh,16,25932559,125,0
srbachchan,Amitabh Bachchan,65487,38845600,1835,69
aliciakeys,Alicia Keys,8290,30134710,727,490
nba,NBA,239269,28494516,1732,432
